,as_of,country,province,city,new_cases,diagnosed,deaths,recovered
453,2020-02-12 13:49,China,宁夏,,5,58,0,22
454,2020-02-12 13:49,China,宁夏,银川,1,31,0,10
455,2020-02-12 13:49,China,宁夏,吴忠,4,19,0,6
456,2020-02-12 13:49,China,宁夏,固原,0,3,0,2
457,2020-02-12 13:49,China,宁夏,中卫,0,3,0,2
458,2020-02-12 13:49,China,宁夏,石嘴山,0,1,0,1
459,2020-02-12 13:49,China,宁夏,宁东,0,1,0,1
460,2020-02-12 13:49,China,香港,,7,49,1,0
461,2020-02-12 13:49,China,青海,,0,18,0,5
462,2020-02-12 13:49,China,青海,西宁,0,15,0,3
463,2020-02-12 13:49,China,青海,海北州,0,3,0,0
464,2020-02-12 13:49,China,青海,未明确地区,0,0,0,2
465,2020-02-12 13:49,China,台湾,,0,18,0,1
466,2020-02-12 13:49,China,澳门,,0,10,0,1
467,2020-02-12 13:49,China,西藏,,待更新,1,0,0
468,2020-02-12 13:49,China,西藏,拉萨,待更新,1,0,0
0,2020-02-12 13:49,日本,,,0,203,0,0
1,2020-02-12 13:49,新加坡,,,0,47,0,0
2,2020-02-12 13:49,泰国,,,0,33,0,0
3,2020-02-12 13:49,韩国,,,0,28,0,0
4,2020-02-12 13:49,马来西亚,,,0,18,0,0
5,2020-02-12 13:49,德国,,,0,16,0,0
6,2020-02-12 13:49,澳大利亚,,,0,15,0,0
7,2020-02-12 13:49,越南,,,0,15,0,0
8,2020-02-12 13:49,美国,,,0,13,0,0
9,2020-02-12 13:49,法国,,,0,11,0,0
10,2020-02-12 13:49,阿联酋,,,0,8,0,0
11,2020-02-12 13:49,英国,,,0,8,0,0
12,2020-02-12 13:49,加拿大,,,0,7,0,0
13,2020-02-12 13:49,印度,,,0,3,0,0
14,2020-02-12 13:49,意大利,,,0,3,0,0
15,2020-02-12 13:49,菲律宾,,,0,3,1,0
16,2020-02-12 13:49,俄罗斯,,,0,2,0,0
17,2020-02-12 13:49,西班牙,,,0,2,0,0
18,2020-02-12 13:49,芬兰,,,0,1,0,0
19,2020-02-12 13:49,尼泊尔,,,0,1,0,0
20,2020-02-12 13:49,斯里兰卡,,,0,1,0,0
21,2020-02-12 13:49,柬埔寨,,,0,1,0,0
22,2020-02-12 13:49,瑞典,,,0,1,0,0
23,2020-02-12 13:49,比利时,,,0,1,0,0
